seed,condition,after_phase,active,ACC_A,ACC_B,ACC_C
0,F,A,85,0.9525,0.1325,0.1075
0,F,B,149,0.93,0.9325,0.2325
0,F,C,251,0.2925,0.915,0.6875
0,P,A,39,0.9525,0.1325,0.1075
0,P,B,112,0.8475,0.935,0.17
0,P,C,211,0.2725,0.92,0.6975
0,N,A,85,0.9525,0.1325,0.1075
0,N,B,88,0.1125,0.9425,0.1075
0,N,C,115,0.1125,0.1325,0.69
1,F,A,86,0.96,0.15,0.2325
1,F,B,159,0.9525,0.9625,0.725
1,F,C,256,0.6975,0.9275,0.79
1,P,A,41,0.96,0.15,0.2325
1,P,B,125,0.825,0.9675,0.435
1,P,C,224,0.53,0.895,0.7925
1,N,A,86,0.96,0.15,0.2325
1,N,B,88,0.15,0.9675,0.2325
1,N,C,109,0.15,0.15,0.7825
2,F,A,82,0.9375,0.155,0.0975
2,F,B,148,0.92,0.9225,0.1775
2,F,C,266,0.535,0.8875,0.6375
2,P,A,37,0.9375,0.155,0.0975
2,P,B,118,0.82,0.93,0.1575
2,P,C,236,0.47,0.9025,0.6525
2,N,A,82,0.9375,0.155,0.0975
2,N,B,79,0.135,0.9325,0.0975
2,N,C,123,0.135,0.155,0.6575
3,F,A,97,0.975,0.1425,0.3
3,F,B,176,0.975,0.97,0.345
3,F,C,263,0.6175,0.9625,0.6825
3,P,A,61,0.975,0.1425,0.3
3,P,B,145,0.905,0.97,0.3075
3,P,C,234,0.505,0.96,0.71
3,N,A,97,0.975,0.1425,0.3
3,N,B,94,0.1425,0.9675,0.3
3,N,C,105,0.1425,0.1425,0.6875
4,F,A,96,0.9525,0.1,0.09
4,F,B,176,0.935,0.96,0.2675
4,F,C,284,0.3575,0.9425,0.7125
4,P,A,50,0.9525,0.1,0.09
4,P,B,142,0.73,0.9675,0.15
4,P,C,258,0.31,0.945,0.725
4,N,A,96,0.9525,0.1,0.09
4,N,B,95,0.1225,0.965,0.09
4,N,C,120,0.1225,0.1,0.745
